title,star,quote,url
看不见的客人?/?Contratiempo?/?死无对证(港)  /  布局(台),8.8,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
西西里的美丽传说?/?Malèna?/?真爱伴我行(台)  /  玛莲娜,8.9,美丽无罪。,https://movie.douban.com/subject/1292402/
哈利·波特与死亡圣器(下)?/?Harry Potter and the Deathly Hallows: Part 2?/?哈利波特7：死神的圣物2(港 / 台) ,9,10年的完美句点。,https://movie.douban.com/subject/3011235/
阿凡达?/?Avatar?/?,8.8,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
拯救大兵瑞恩?/?Saving Private Ryan?/?雷霆救兵(港)  /  抢救雷恩大兵(台),9.1,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
功夫?/?功夫3D  /  Kung Fu Hustle,8.8,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
小鞋子?/???? ??? ??????/?天堂的孩子  /  小童鞋,9.2,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
飞越疯人院?/?One Flew Over the Cuckoo's Nest?/?飞越杜鹃窝(台)  /  飞越喜鹊巢,9.1,自由万岁。,https://movie.douban.com/subject/1292224/
沉默的羔羊?/?The Silence of the Lambs?/?沉默的羔羊,8.9,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
布达佩斯大饭店?/?The Grand Budapest Hotel?/?布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),8.9,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
哈利·波特与阿兹卡班的囚徒?/?Harry Potter and the Prisoner of Azkaban?/?哈利波特3：阿兹卡班的逃犯(港 / 台) ,9,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
蝴蝶效应?/?The Butterfly Effect?/?蝴蝶效应,8.9,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
禁闭岛?/?Shutter Island?/?不赦岛(港)  /  隔离岛(台),8.9,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
致命魔术?/?The Prestige?/?死亡魔法(港)  /  顶尖对决(台),8.9,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
心灵捕手?/?Good Will Hunting?/?骄阳似我(港)  /  心灵捕手,9,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
超脱?/?Detachment?/?人间师格(台),9,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
低俗小说?/?Pulp Fiction?/?危险人物(港)  /  黑色追缉令(台),8.9,故事的高级讲法。,https://movie.douban.com/subject/1291832/
摩登时代?/?Modern Times?/?The Masses  /  Les Temps modernes,9.3,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
喜剧之王?/?喜劇之王?/?King of Comedy,8.8,我是一个演员。,https://movie.douban.com/subject/1302425/
